id	name	status	codec	sample_rate	channels	bit_rate	duration	url
13c	13C Radio	unavailable						https://us-b4-p-e-qg12-audio.cdn.mdstrm.com/live-audio-aw/5c915497c6fd7c085b29169d/playlist.m3u8
activa	Radio Activa	ok	mp3	44100	2	128000		https://stream.zeno.fm/pvs6hqz3crtvv
adn	ADN Radio	ok	aac	44100	2	57050		https://playerservices.streamtheworld.com/api/livestream-redirect/ADNAAC.aac
agricultura	Radio Agricultura	ok	aac	44100	2			https://unlimited4-us.dps.live/agricultura/gotardis/audio/now/livestream1.m3u8
beethoven	Radio Beethoven	ok	aac	48000	2	64114		https://unlimited5-us.dps.live/beethovenfm/aac/icecast.audio
biobio	Radio Bío Bío	ok	mp3	44100	2	128000		https://unlimited3-cl.dps.live/biobiosantiago/mp3/icecast.audio
carnaval-la-serena	Radio Carnaval La Serena	ok	aac	44100	2	32150		https://cp2.streamchileno.cl/listen/radiocarnaval/radio.mp3
carolina	Radio Carolina	ok	aac	44100	2	129721		https://stream.zeno.fm/sri2de2qdlivv
concierto	Radio Concierto	ok	aac	44100	2	56969		https://playerservices.streamtheworld.com/api/livestream-redirect/CONCIERTOAAC.aac
conquistador	El Conquistador FM	ok	mp3	44100	2	128000		https://stream10.usastreams.com/9314/stream
cooperativa	Radio Cooperativa	ok	aac	44100	2	64302		https://redirector.dps.live/cooperativafm/aac/icecast.audio
corazon	Radio Corazón	ok	mp3	44100	2	128000		https://playerservices.streamtheworld.com/api/livestream-redirect/CORAZON_SC.mp3
duna	Radio Duna	ok	aac	44100	2	98187		https://mdstrm.com/audio/67f42f96e464d19a6eda3c7d/icecast.audio
edelweiss	Radio Edelweiss	ok	mp3	44100	2	192000		https://encoder.stationlink.cl/listen/edelweiss/radio.mp3
festival	Radio Festival	ok	aac	48000	2	128010		https://stream.festival.cl/1
fmdos	FM Dos	ok	aac	44100	2	57349		https://playerservices.streamtheworld.com/api/livestream-redirect/FMDOSAAC_SC.aac
fmlatina	FM Latina	ok	mp3	44100	2	128000		https://jm8n.com/proxy/radiofmlatina/stream
futuro	Radio Futuro	ok	mp3	44100	2	192000		https://playerservices.streamtheworld.com/api/livestream-redirect/FUTURO_SC.mp3
imagina	Radio Imagina	ok	mp3	44100	2	128000		https://playerservices.streamtheworld.com/api/livestream-redirect/IMAGINA_SC.mp3
la-clave	Radio La Clave	ok	h264					https://unlimited1-cl-isp.dps.live/laclavetv/laclavetv.smil/playlist.m3u8
la-mexicana	Radio La Mexicana	ok	mp3	44100	2	128000		https://audio0.tustreaming.cl/7160/aire
los40	Los 40	ok	mp3	44100	2	128000		https://playerservices.streamtheworld.com/api/livestream-redirect/LOS40_CHILE_SC.mp3
oasis	Oasis FM	ok	aac	44100	2			https://mdstrm.com/audio/5c915497c6fd7c085b29169d/live.m3u8
play-fm	Play FM	ok	aac	44100	2	97365		https://mdstrm.com/audio/5c8d6406f98fbf269f57c82c/icecast.audio
pudahuel	Radio Pudahuel	ok	mp3	44100	2	128000		https://playerservices.streamtheworld.com/api/livestream-redirect/PUDAHUEL_SC.mp3
punto7-temuco	Radio Punto 7 Temuco	ok	aac	44100	2	95861		https://redirector.dps.live/p7temuco/aac/icecast.audio
radio-recuerdos	FM de Los Recuerdos	ok	mp3	44100	2	128000		https://sonando-us.digitalproserver.com/fmdelosrecuerdos.aac
rock-pop	Rock & Pop	ok	aac	44100	2	57274		https://playerservices.streamtheworld.com/api/livestream-redirect/ROCK_AND_POPAAC_SC
sonar	Radio Sonar	ok	aac	44100	2	98310		https://mdstrm.com/audio/5c915724519bce27671c4d15/icecast.audio?property=radiobox
